date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:25	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:19%20GMT	https://www.kcollector.com.br/wp-content/uploads/2017/11/conecta.png	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2017/11/conecta.png	(from https://www.kcollector.com.br/blog/)
14:17:26	42/42	URF---	200	added ('OK%20(cached)')	image/gif		http://marketing.kcollector.com.br/mtracking.gif?d=YTo0OntzOjg6Imxhbmd1YWdlIjtzOjU6InB0X0JSIjtzOjg6InBhZ2VfdXJsIjtzOjQ4OiJodHRwczovL3d3dy5rY29sbGVjdG9yLmNvbS5ici9ibG9nP3BhZ2VuYW1lPWJsb2ciO3M6MTA6InBhZ2VfdGl0bGUiO3M6MzA6IkRpY2FzIHBhcmEgY29udHJvbGUgZGUgZXN0b3F1ZSI7czo4OiJyZWZlcnJlciI7czoyOToiaHR0cDovL3d3dy5rY29sbGVjdG9yLmNvbS5ici8iO30%3D	/home/tits/websites/Brazil%20angel%20mobile/marketing.kcollector.com.br/mtracking2d0f.gif	(from https://www.kcollector.com.br/blog/)
14:17:29	2342/2342	UR-MC-	200	added ('OK')	application/json	date:Tue,%2019%20Dec%202017%2012:17:27%20GMT	https://www.kcollector.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.kcollector.com.br%2Fduvidas-frequentes%2F	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-json/oembed/1.0/embed8fae.json	(from https://www.kcollector.com.br/duvidas-frequentes/)
14:17:30	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:24%20GMT	https://www.kcollector.com.br/wp-content/uploads/2017/11/15-Startups-selecionadas-para-a-3-fase-da-1-jornada.png	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2017/11/15-Startups-selecionadas-para-a-3-fase-da-1-jornada.png	(from https://www.kcollector.com.br/blog/)
14:17:30	53797/53797	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2012:17:29%20GMT	https://www.kcollector.com.br/blog/	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/blog/index.html	(from https://www.kcollector.com.br/)
14:17:37	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:32%20GMT	https://www.kcollector.com.br/wp-content/uploads/2016/05/title-image-pricing.jpg	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2016/05/title-image-pricing.jpg	(from https://www.kcollector.com.br/duvidas-frequentes/)
14:17:38	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:32%20GMT	https://www.kcollector.com.br/wp-content/uploads/2016/05/Carregando-1024x374.png	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2016/05/Carregando-1024x374.png	(from https://www.kcollector.com.br/duvidas-frequentes/)
14:17:40	45168/45168	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2012:17:39%20GMT	https://www.kcollector.com.br/leitores-usb-e-bluetooth/	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/leitores-usb-e-bluetooth/index.html	(from https://www.kcollector.com.br/)
14:17:45	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:39%20GMT	https://www.kcollector.com.br/wp-content/uploads/2016/05/Xml-com-coleta-1024x204.png	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2016/05/Xml-com-coleta-1024x204.png	(from https://www.kcollector.com.br/duvidas-frequentes/)
14:17:46	42/42	URF---	200	added ('OK%20(cached)')	image/gif		http://marketing.kcollector.com.br/mtracking.gif?d=YTo0OntzOjg6Imxhbmd1YWdlIjtzOjU6InB0X0JSIjtzOjg6InBhZ2VfdXJsIjtzOjc2OiJodHRwczovL3d3dy5rY29sbGVjdG9yLmNvbS5ici9kdXZpZGFzLWZyZXF1ZW50ZXM%2FcGFnZW5hbWU9ZHV2aWRhcy1mcmVxdWVudGVzIjtzOjEwOiJwYWdlX3RpdGxlIjtzOjMwOiJEw7p2aWRhcyBmcmVxdWVudGVzIEtDb2xsZWN0b3IiO3M6ODoicmVmZXJyZXIiO3M6Mjk6Imh0dHA6Ly93d3cua2NvbGxlY3Rvci5jb20uYnIvIjt9	/home/tits/websites/Brazil%20angel%20mobile/marketing.kcollector.com.br/mtrackingae3b.gif	(from https://www.kcollector.com.br/duvidas-frequentes/)
